,age,occupation,marital,education,housing_loan,personal_loan,contact,month,day,duration,contact_freq,days_passed,contact_bef,prev_outcome,emp_var_rate,cpi_index,cci_index,e3m,employees,subscription,prev_part
11772,46,admin.,divorced,university.degree,yes,no,telephone,jun,fri,14.0,12,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11773,25,admin.,single,high.school,no,no,telephone,jun,fri,20.0,7,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11774,59,entrepreneur,married,university.degree,no,no,telephone,jun,fri,9.0,5,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11776,37,technician,married,professional.course,no,no,telephone,jun,fri,26.0,6,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11779,39,services,single,high.school,no,no,telephone,jun,fri,48.0,10,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11780,32,services,single,high.school,no,no,telephone,jun,fri,13.0,4,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11781,55,unemployed,divorced,basic.9y,no,no,telephone,jun,fri,9.0,6,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11782,25,services,single,high.school,yes,no,telephone,jun,fri,13.0,14,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11783,42,services,married,high.school,no,no,telephone,jun,fri,55.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11784,40,admin.,single,high.school,yes,yes,telephone,jun,fri,10.0,13,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11785,52,retired,married,professional.course,no,no,telephone,jun,fri,41.0,7,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11787,50,entrepreneur,married,basic.9y,yes,no,telephone,jun,fri,7.0,12,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11788,33,admin.,divorced,university.degree,no,no,telephone,jun,fri,92.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11792,31,management,married,university.degree,no,no,telephone,jun,fri,101.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11793,36,admin.,married,basic.9y,no,yes,telephone,jun,fri,75.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11794,40,admin.,married,university.degree,no,no,telephone,jun,fri,17.0,21,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11795,22,technician,single,professional.course,no,no,telephone,jun,fri,184.0,4,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11796,27,unemployed,married,high.school,yes,no,telephone,jun,fri,23.0,13,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11797,30,blue-collar,married,basic.9y,no,yes,telephone,jun,fri,78.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11799,39,management,married,university.degree,no,no,telephone,jun,fri,601.0,5,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11802,53,blue-collar,married,basic.9y,yes,no,telephone,jun,fri,13.0,5,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11803,23,blue-collar,single,basic.4y,yes,no,telephone,jun,fri,31.0,10,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11804,45,management,single,basic.9y,yes,no,telephone,jun,fri,294.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11805,48,admin.,divorced,high.school,no,yes,telephone,jun,fri,36.0,5,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11807,37,blue-collar,married,basic.9y,no,no,telephone,jun,fri,15.0,7,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11808,40,technician,single,professional.course,yes,no,telephone,jun,fri,87.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11811,38,blue-collar,single,basic.9y,yes,no,telephone,jun,fri,38.0,6,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11813,33,admin.,married,high.school,yes,no,telephone,jun,fri,61.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11815,42,technician,divorced,basic.9y,no,no,telephone,jun,fri,45.0,22,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11817,30,admin.,married,university.degree,yes,yes,telephone,jun,fri,42.0,7,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11818,32,services,single,high.school,yes,no,telephone,jun,fri,23.0,11,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11820,21,student,single,high.school,no,no,telephone,jun,fri,24.0,7,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11821,37,services,married,high.school,no,no,telephone,jun,fri,152.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11823,34,admin.,married,university.degree,yes,no,telephone,jun,fri,31.0,6,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11824,51,management,married,university.degree,yes,no,telephone,jun,fri,236.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11825,50,entrepreneur,married,basic.4y,no,no,telephone,jun,fri,20.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11826,36,blue-collar,single,high.school,yes,yes,telephone,jun,fri,14.0,4,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11831,56,retired,married,basic.6y,yes,yes,telephone,jun,fri,37.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11832,44,self-employed,married,professional.course,yes,yes,telephone,jun,fri,47.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11833,56,admin.,married,university.degree,no,no,telephone,jun,fri,34.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11834,51,services,married,basic.9y,yes,no,telephone,jun,fri,250.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11835,58,entrepreneur,married,basic.4y,yes,no,telephone,jun,fri,221.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11837,29,admin.,married,high.school,yes,no,telephone,jun,fri,21.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11838,48,admin.,single,university.degree,yes,no,telephone,jun,fri,14.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11839,37,blue-collar,married,basic.4y,yes,no,telephone,jun,fri,94.0,7,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11843,31,admin.,divorced,high.school,no,no,telephone,jun,fri,111.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11845,34,self-employed,single,university.degree,yes,no,telephone,jun,fri,19.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11846,39,technician,single,high.school,yes,no,telephone,jun,fri,274.0,9,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11847,28,admin.,married,university.degree,no,no,telephone,jun,fri,819.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11853,33,blue-collar,married,basic.9y,no,no,telephone,jun,fri,12.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11856,36,admin.,married,high.school,yes,no,telephone,jun,fri,21.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11857,37,admin.,married,high.school,yes,no,telephone,jun,fri,14.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11858,52,retired,married,university.degree,yes,no,telephone,jun,fri,11.0,12,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11859,47,admin.,married,basic.9y,yes,no,telephone,jun,fri,9.0,7,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11860,44,blue-collar,married,basic.9y,no,no,telephone,jun,fri,109.0,4,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11861,38,technician,married,professional.course,yes,no,telephone,jun,fri,21.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11862,46,admin.,married,high.school,yes,no,telephone,jun,fri,7.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11863,33,management,married,university.degree,yes,no,telephone,jun,fri,18.0,5,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11865,38,admin.,married,university.degree,no,no,telephone,jun,fri,24.0,5,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11866,55,technician,married,professional.course,yes,yes,telephone,jun,fri,61.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11867,29,unemployed,single,university.degree,no,no,telephone,jun,fri,6.0,17,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11868,34,blue-collar,married,basic.9y,no,no,telephone,jun,fri,114.0,10,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11870,40,admin.,married,university.degree,no,no,telephone,jun,fri,44.0,5,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11872,27,blue-collar,married,university.degree,no,no,telephone,jun,fri,10.0,19,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11874,42,admin.,divorced,university.degree,no,no,telephone,jun,fri,26.0,4,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11876,37,admin.,single,university.degree,no,no,telephone,jun,fri,18.0,11,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11879,47,management,divorced,university.degree,no,no,telephone,jun,fri,8.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11880,33,admin.,single,high.school,yes,yes,telephone,jun,fri,15.0,26,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11881,58,technician,single,professional.course,yes,yes,telephone,jun,fri,39.0,4,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11884,27,entrepreneur,single,university.degree,no,no,telephone,jun,fri,48.0,5,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11885,32,admin.,married,university.degree,no,no,telephone,jun,fri,18.0,9,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11886,36,admin.,single,university.degree,no,no,telephone,jun,fri,35.0,7,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11887,35,admin.,married,university.degree,no,no,telephone,jun,fri,13.0,4,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11888,28,admin.,single,high.school,no,no,telephone,jun,fri,22.0,16,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11891,47,admin.,married,university.degree,yes,no,telephone,jun,fri,11.0,4,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11892,38,admin.,married,high.school,yes,no,telephone,jun,fri,447.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11895,46,admin.,married,high.school,no,yes,telephone,jun,fri,492.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11898,26,technician,married,basic.6y,yes,no,telephone,jun,fri,11.0,20,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11899,29,admin.,married,university.degree,yes,no,telephone,jun,fri,9.0,16,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11900,39,admin.,married,high.school,yes,yes,telephone,jun,fri,9.0,19,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11901,33,unemployed,married,basic.9y,no,no,telephone,jun,fri,11.0,6,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11902,48,blue-collar,married,professional.course,yes,yes,telephone,jun,fri,12.0,24,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11904,38,housemaid,married,basic.9y,no,no,telephone,jun,fri,86.0,4,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11905,40,blue-collar,married,basic.9y,no,no,telephone,jun,fri,46.0,4,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11907,39,admin.,married,professional.course,no,no,telephone,jun,fri,32.0,5,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11909,37,blue-collar,married,basic.9y,no,no,telephone,jun,fri,124.0,4,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11913,33,services,divorced,high.school,yes,no,telephone,jun,fri,52.0,4,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11914,41,technician,married,high.school,yes,no,telephone,jun,fri,145.0,24,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11915,33,blue-collar,married,basic.9y,no,no,telephone,jun,fri,8.0,13,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11916,24,services,single,high.school,no,no,telephone,jun,fri,12.0,8,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11917,53,technician,divorced,university.degree,yes,no,telephone,jun,fri,16.0,28,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11923,49,technician,married,professional.course,yes,no,telephone,jun,fri,41.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11924,42,management,married,high.school,no,no,telephone,jun,fri,20.0,5,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11926,47,blue-collar,divorced,basic.4y,yes,yes,telephone,jun,fri,9.0,18,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11927,31,services,single,professional.course,yes,no,telephone,jun,fri,202.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11928,46,blue-collar,single,high.school,no,no,telephone,jun,fri,310.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11929,54,technician,married,high.school,no,no,telephone,jun,fri,204.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11932,32,services,married,high.school,no,no,telephone,jun,fri,298.0,4,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0
11935,32,admin.,single,university.degree,yes,no,telephone,jun,mon,85.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11936,40,admin.,single,university.degree,no,no,telephone,jun,mon,498.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,yes,0
11937,39,management,single,university.degree,no,no,telephone,jun,mon,670.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,yes,0
11938,25,blue-collar,married,basic.9y,yes,no,telephone,jun,mon,82.0,5,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11939,26,blue-collar,married,basic.9y,no,no,telephone,jun,mon,72.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11940,46,management,married,basic.9y,no,no,telephone,jun,mon,53.0,4,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11941,26,blue-collar,married,basic.9y,yes,no,telephone,jun,mon,123.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11942,54,blue-collar,married,professional.course,no,no,telephone,jun,mon,364.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11943,47,blue-collar,married,basic.4y,yes,no,telephone,jun,mon,655.0,4,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11945,41,self-employed,single,university.degree,yes,yes,telephone,jun,mon,640.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11946,36,technician,married,basic.9y,no,no,telephone,jun,mon,339.0,4,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11947,30,blue-collar,single,basic.9y,yes,no,telephone,jun,mon,662.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,yes,0
11949,47,admin.,married,university.degree,no,no,telephone,jun,mon,216.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11950,52,management,married,basic.4y,no,no,telephone,jun,tue,165.0,5,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11951,34,blue-collar,single,high.school,yes,no,telephone,jun,tue,137.0,5,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11952,30,services,married,high.school,yes,no,telephone,jun,tue,62.0,5,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11953,26,admin.,single,high.school,no,no,telephone,jun,tue,56.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11954,58,services,married,high.school,yes,no,telephone,jun,tue,790.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11956,31,blue-collar,married,basic.6y,no,no,telephone,jun,tue,481.0,6,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11957,46,blue-collar,married,basic.6y,no,no,telephone,jun,tue,32.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11958,39,admin.,single,high.school,no,no,telephone,jun,tue,183.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11959,42,self-employed,married,professional.course,yes,no,telephone,jun,tue,214.0,4,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11962,37,services,married,high.school,yes,yes,telephone,jun,tue,351.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11963,35,admin.,divorced,university.degree,no,no,telephone,jun,tue,51.0,8,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11965,43,blue-collar,married,basic.9y,no,no,telephone,jun,wed,89.0,4,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11966,29,entrepreneur,single,university.degree,no,no,telephone,jun,wed,347.0,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11967,58,blue-collar,married,basic.9y,no,no,telephone,jun,wed,372.0,5,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11972,32,blue-collar,single,basic.9y,yes,no,telephone,jun,wed,75.0,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11973,52,technician,married,basic.9y,no,yes,telephone,jun,wed,249.0,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11974,36,blue-collar,married,basic.9y,yes,no,telephone,jun,wed,268.0,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11975,38,blue-collar,married,basic.9y,no,no,telephone,jun,wed,333.0,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11979,36,admin.,married,university.degree,yes,no,telephone,jun,wed,67.0,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11980,44,services,married,basic.9y,yes,no,telephone,jun,wed,162.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11983,34,technician,married,professional.course,no,no,telephone,jun,wed,67.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11984,41,admin.,single,basic.6y,no,no,telephone,jun,wed,168.0,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11985,51,entrepreneur,married,university.degree,no,no,telephone,jun,wed,71.0,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11986,28,admin.,married,high.school,no,no,telephone,jun,wed,151.0,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11987,31,housemaid,married,basic.4y,no,no,telephone,jun,wed,91.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11989,29,admin.,married,university.degree,yes,yes,telephone,jun,wed,281.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11990,33,services,single,high.school,no,no,telephone,jun,wed,375.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11991,42,management,married,university.degree,no,no,telephone,jun,wed,168.0,8,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11994,39,blue-collar,married,basic.4y,no,no,telephone,jun,wed,305.0,4,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0
11996,45,admin.,married,high.school,yes,no,telephone,jun,thu,650.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,no,0
11997,28,services,single,basic.9y,no,no,telephone,jun,thu,178.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,no,0
11998,59,retired,married,basic.9y,no,yes,telephone,jun,thu,465.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,no,0
12000,58,services,married,basic.4y,no,no,telephone,jun,thu,322.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,no,0
12003,49,unemployed,married,basic.9y,yes,yes,telephone,jun,thu,271.0,1,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,no,0
12004,48,blue-collar,married,high.school,yes,yes,telephone,jun,thu,677.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,yes,0
12005,52,technician,married,basic.9y,yes,yes,telephone,jun,thu,138.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,no,0
12006,29,blue-collar,single,basic.6y,yes,no,telephone,jun,thu,215.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,no,0
12007,60,self-employed,married,professional.course,yes,no,telephone,jun,thu,318.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,no,0
12008,28,admin.,single,professional.course,no,yes,telephone,jun,thu,253.0,1,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,no,0
12010,30,admin.,single,university.degree,no,no,telephone,jun,thu,301.0,4,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,no,0
12011,36,blue-collar,married,high.school,no,no,telephone,jun,thu,197.0,1,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,no,0
12012,56,admin.,divorced,high.school,yes,no,telephone,jun,thu,71.0,1,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,no,0
12013,29,blue-collar,married,basic.9y,no,yes,telephone,jun,thu,190.0,1,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,no,0
12018,39,blue-collar,married,basic.6y,yes,no,telephone,jun,thu,150.0,1,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,no,0
12019,25,technician,single,professional.course,no,yes,telephone,jun,thu,150.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,no,0
12020,36,blue-collar,single,basic.4y,yes,no,telephone,jun,thu,182.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,no,0
12022,29,admin.,married,university.degree,no,no,telephone,jun,thu,176.0,7,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,no,0
12023,36,blue-collar,single,basic.9y,yes,yes,telephone,jun,thu,762.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,yes,0
12026,58,retired,single,professional.course,yes,no,telephone,jun,thu,565.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,no,0
12027,49,services,divorced,high.school,no,no,telephone,jun,thu,138.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,no,0
12029,58,retired,married,high.school,yes,no,telephone,jun,thu,3183.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,yes,0
12030,34,admin.,single,university.degree,no,no,telephone,jun,thu,406.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,no,0
12035,39,self-employed,divorced,professional.course,yes,no,telephone,jun,thu,529.0,4,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,no,0
12039,31,services,single,high.school,no,no,telephone,jun,fri,422.0,6,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,yes,0
12040,34,blue-collar,married,basic.6y,no,no,telephone,jun,fri,381.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no,0
12043,33,services,married,high.school,no,no,telephone,jun,fri,59.0,4,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no,0
12044,34,admin.,married,university.degree,no,no,telephone,jun,fri,198.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no,0
12045,32,management,married,university.degree,no,no,telephone,jun,fri,80.0,4,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no,0
12046,29,admin.,single,high.school,no,no,telephone,jun,fri,433.0,4,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no,0
12047,44,blue-collar,married,basic.6y,yes,no,telephone,jun,fri,159.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no,0
12048,50,admin.,married,high.school,no,no,telephone,jun,fri,513.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no,0
12049,59,housemaid,married,basic.6y,no,no,telephone,jun,fri,207.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no,0
12050,26,admin.,married,high.school,no,no,telephone,jun,fri,120.0,6,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no,0
12051,29,services,married,high.school,yes,yes,telephone,jun,fri,121.0,4,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no,0
12052,34,admin.,married,high.school,yes,no,telephone,jun,fri,95.0,1,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no,0
12054,24,technician,single,basic.9y,no,no,telephone,jun,fri,111.0,3,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no,0
12055,34,blue-collar,married,basic.9y,no,no,telephone,jun,fri,302.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no,0
12056,37,admin.,married,high.school,no,no,telephone,jun,fri,212.0,1,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no,0
12057,27,self-employed,single,university.degree,no,no,telephone,jun,fri,911.0,1,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,yes,0
12058,30,technician,married,high.school,no,no,telephone,jun,fri,154.0,6,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no,0
12059,58,services,married,high.school,no,no,telephone,jun,fri,181.0,1,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no,0
12060,58,services,married,high.school,yes,no,telephone,jun,fri,32.0,1,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no,0
12061,40,services,married,high.school,no,no,telephone,jun,fri,392.0,4,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no,0
12063,40,management,married,basic.9y,yes,yes,telephone,jun,fri,162.0,1,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no,0
12064,33,technician,single,professional.course,no,no,telephone,jun,fri,634.0,2,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no,0
12065,32,services,single,high.school,no,no,telephone,jun,fri,79.0,1,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no,0
12066,34,admin.,single,basic.9y,yes,no,telephone,jun,fri,148.0,5,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no,0
12067,27,admin.,single,professional.course,yes,yes,telephone,jun,fri,103.0,1,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no,0
12068,27,admin.,single,professional.course,yes,yes,telephone,jun,fri,141.0,1,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no,0
